\;who;text;Новый вариант;;;;;;;;;;;;;;;;;;;;;
934;ID_32_m_a_ROUND_2_SUICIDE_TEXT;Мой наставник, покончил с собой. Он учил меня любить жизнь, я теперь не знаю что делать...;Мой наставник покончил с собой. Он учил меня любить жизнь, понимаешь? Теперь я не знаю, что делать...;;;;;;;;;;;;;;;;;;;;;
935;ID_32_ROUND_2_GG_ANSWER_RESULT = next;Ирония...;Как иронично...;;;;;;;;;;;;;;;;;;;;;
936;ID_32_ROUND_2_GG_ANSWER_RESULT = next;Его учение, не должно пропасть.;Его учение не должно пропасть.;;;;;;;;;;;;;;;;;;;;;
937;ID_32_ROUND_2_GG_ANSWER_RESULT = suicide;Ты можешь найти себе нового.;Может быть, ты сможешь найти себе нового?;;;;;;;;;;;;;;;;;;;;;
938;ID_32_m_a_ROUND_2_SUICIDE_ON_DIE;ОН БЫЛ ОДИН ТАКОЙ!!!;ОН БЫЛ ОДИН ТАКОЙ!!!;;;;;;;;;;;;;;;;;;;;;
939;ID_32_m_a_ROUND_3_SUICIDE_TEXT;Почему он так поступил...Он учил меня всему...Он был мне как брат...;Я никак не могу понять, почему... И как мне дальше жить...;;;;;;;;;;;;;;;;;;;;;
940;ID_32_ROUND_3_GG_ANSWER_RESULT = next;Он просто ошибся.;Он просто ошибся.;;;;;;;;;;;;;;;;;;;;;
941;ID_32_ROUND_3_GG_ANSWER_RESULT = suicide;Жизнь на этом не заканчивается.;Жизнь на этом не заканчивается.;;;;;;;;;;;;;;;;;;;;;
942;ID_32_ROUND_3_GG_ANSWER_RESULT = next;Я понимаю, это крупная потеря...;Я понимаю, это тяжело...;;;;;;;;;;;;;;;;;;;;;
943;ID_32_m_a_ROUND_3_SUICIDE_ON_DIE;Может это шаг вперед?;Может, смерть - это и правда не конец?;;;;;;;;;;;;;;;;;;;;;
944;ID_32_m_a_ROUND_4_SUICIDE_TEXT;Может это и есть путь к счастью? Он говорил про какой-то урок, который я должен буду пройти сам!;Может, это и есть путь к счастью? Он говорил про какой-то урок, который я должен буду усвоить сам!;;;;;;;;;;;;;;;;;;;;;
945;ID_32_ROUND_4_GG_ANSWER_RESULT = suicide;Хм, а это имеет смысл.;Что-то в этом есть...;;;;;;;;;;;;;;;;;;;;;
946;ID_32_ROUND_4_GG_ANSWER_RESULT = next;Я уверен, что урок был про что-то еще.;Я уверен, этот урок был про что-то другое.;;;;;;;;;;;;;;;;;;;;;
947;ID_32_ROUND_4_GG_ANSWER_RESULT = next;У меня тут есть книжка, от другого учителя...;А у него интересный подход к обучению.;;;;;;;;;;;;;;;;;;;;;
948;ID_32_m_a_ROUND_4_SUICIDE_ON_DIE;Этим.;Учитель, я все понял!;;;;;;;;;;;;;;;;;;;;;
950;ID_32_m_a_ROUND_5_SUICIDE_TEXT;Может быть ты заодно с моим учителем? Какой урок я должен пройти?;Я понял... Ты заодно с моим учителем! Так какой урок вы хотели мне преподать?;;;;;;;;;;;;;;;;;;;;;
951;ID_32_ROUND_5_GG_ANSWER_RESULT = save;Ответ всегда очевиден!;Иногда нужно умереть, чтобы начать жить.;;;;;;;;;;;;;;;;;;;;;
952;ID_32_ROUND_5_GG_ANSWER_RESULT = suicide;Точно спуститься с моста;Бояться надо не смерти, а пустой жизни.;;;;;;;;;;;;;;;;;;;;;
953;ID_32_ROUND_5_GG_ANSWER_RESULT = save;Надо искать ответ! В другом месте...;Только когда оказываешься перед лицом смерти, начинаешь по-настоящему ценить жизнь.;;;;;;;;;;;;;;;;;;;;;
954;ID_32_m_a_ROUND_5_SUICIDE_ON_DIE;Нет, это не может быть так просто. Я прыгаю!;Но ведь моя жизнь пуста...;;;;;;;;;;;;;;;;;;;;;
955;ID_32_m_a_ROUND_5SUICIDE_ON_GO_HOME;Надо искать подсказки...;Это самый ценный урок в моей жизни!;;;;;;;;;;;;;;;;;;;;;
956;ID_34_f_y_ROUND_1_SUICIDE_TEXT;(рыдает);(рыдает);;;;;;;;;;;;;;;;;;;;;
957;ID_34_ROUND_1_GG_ANSWER_RESULT = next;Тихо, тихо, расскажи что произошло?;Тихо, тихо, что у тебя стряслось?;;;;;;;;;;;;;;;;;;;;;
958;ID_34_ROUND_1_GG_ANSWER_RESULT = next;Я могу тебе помочь?;Я могу тебе помочь?;;;;;;;;;;;;;;;;;;;;;
959;ID_34_ROUND_1_GG_ANSWER_RESULT = next;У меня есть платок.;Могу одолжить платок.;;;;;;;;;;;;;;;;;;;;;
960;ID_34_f_y_ROUND_2_SUICIDE_TEXT;Кто ты? Оставь меня в покое.;Кто ты? Оставь меня в покое.;;;;;;;;;;;;;;;;;;;;;
961;ID_34_ROUND_2_GG_ANSWER_RESULT = next;После того как ты успокоишься.;Оставлю, но только после того, как ты успокоишься.;;;;;;;;;;;;;;;;;;;;;
962;ID_34_ROUND_2_GG_ANSWER_RESULT = next;Я Уилл, давай дружить?;Я Уилл, давай дружить?;;;;;;;;;;;;;;;;;;;;;
963;ID_34_ROUND_2_GG_ANSWER_RESULT = suicide;А ты то кто?;А ты-то кто?;;;;;;;;;;;;;;;;;;;;;
964;ID_34_f_y_ROUND_2_SUICIDE_ON_DIE;...;Как будто это важно...;;;;;;;;;;;;;;;;;;;;;
965;ID_34_f_y_ROUND_3_SUICIDE_TEXT;Я хотела отомстить парню. И пошла...пошла на вечеринку...и переспала с 19 парнями...;Я хотела отомстить своему парню. И пошла на эту вечеринку... И переспала с 9 парнями...;;;;;;;;;;;;;;;;;;;;;
966;ID_34_ROUND_3_GG_ANSWER_RESULT = suicide;Тебе 18 хотя бы есть?;Ты вообще совершеннолетняя?;;;;;;;;;;;;;;;;;;;;;
967;ID_34_ROUND_3_GG_ANSWER_RESULT = next;Я думал, сейчас это минимум.;О, времена, о, нравы!..;;;;;;;;;;;;;;;;;;;;;
968;ID_34_ROUND_3_GG_ANSWER_RESULT = next;Ты расстроена?;И ты сожалеешь об этом?;;;;;;;;;;;;;;;;;;;;;
969;ID_34_f_y_ROUND_3_SUICIDE_ON_DIE;Нет...;Нет...;;;;;;;;;;;;;;;;;;;;;
970;ID_34_f_y_ROUND_4_SUICIDE_TEXT;Если я беременна, я даже не узнаю кто отец...;Если я беременна, я даже не узнаю, кто отец...;;;;;;;;;;;;;;;;;;;;;
971;ID_34_ROUND_4_GG_ANSWER_RESULT = save;Ты можешь сказать своему парню-что он отец.;Ты можешь сказать своему парню, что он отец.;;;;;;;;;;;;;;;;;;;;;
972;ID_34_ROUND_4_GG_ANSWER_RESULT = next;Может и не беременна.;Может, ты и не беременна.;;;;;;;;;;;;;;;;;;;;;
973;ID_34_ROUND_4_GG_ANSWER_RESULT = next;Ну точно не я.;Я впервые рад, что у меня вообще нет секса!;;;;;;;;;;;;;;;;;;;;;
974;ID_34_f_y_ROUND_4SUICIDE_ON_GO_HOME;И ему придется быть со мной...Круто!;И так я заставлю его остаться со мной... Спасибо!;;;;;;;;;;;;;;;;;;;;;
975;ID_34_f_y_ROUND_5_SUICIDE_TEXT;Это просто катастрофа...Мир так жесток..;Это все так мерзко, я просто не понимаю, что делать дальше...;;;;;;;;;;;;;;;;;;;;;
976;ID_34_ROUND_5_GG_ANSWER_RESULT = save;Просто вернись к парню. Он поймет.;Просто вернись к парню. Он поймет.;;;;;;;;;;;;;;;;;;;;;
977;ID_34_ROUND_5_GG_ANSWER_RESULT = suicide;Время начать все с начала.;Попробуй начать все с чистого листа.;;;;;;;;;;;;;;;;;;;;;
978;ID_34_ROUND_5_GG_ANSWER_RESULT = save;Не умирать же из-за простого веселья.;Не умирать же из-за одной минутной слабости.;;;;;;;;;;;;;;;;;;;;;
979;ID_34_f_y_ROUND_5_SUICIDE_ON_DIE;Это конец!;Нечего начинать!;;;;;;;;;;;;;;;;;;;;;
980;ID_34_f_y_ROUND_5SUICIDE_ON_GO_HOME;Наверное это не конец...;Наверное, еще не все потеряно...;;;;;;;;;;;;;;;;;;;;;
981;ID_37_f_y_ROUND_1_SUICIDE_TEXT;Почему я должна постоянно делать, то что мне говорит отец? Иди туда, делай это, с ним не встречайся, с этим общайся.;Почему я должна постоянно делать то, что мне говорит отец? Иди туда, делай это, с тем не встречайся, с этим общайся...;;;;;;;;;;;;;;;;;;;;;
982;ID_37_ROUND_1_GG_ANSWER_RESULT = next;Он просто тиран.;Родители иногда забывают, как они сами были детьми.;;;;;;;;;;;;;;;;;;;;;
983;ID_37_ROUND_1_GG_ANSWER_RESULT = next;Тебе стоит слушаться старших.;Старших надо слушаться.;;;;;;;;;;;;;;;;;;;;;
984;ID_37_ROUND_1_GG_ANSWER_RESULT = next;Ты личность, ты должна делать, что хочешь. Только не прыгай.;Ты должна делать то, что хочешь, ты же личность! Только не прыгай.;;;;;;;;;;;;;;;;;;;;;
985;ID_37_f_y_ROUND_2_SUICIDE_TEXT;Почему так, почему у меня не может быть своей жизни...;Почему так, почему у меня не может быть своей жизни...;;;;;;;;;;;;;;;;;;;;;
986;ID_37_ROUND_2_GG_ANSWER_RESULT = next;Я тоже делал, все что мне говорит отец...;Я тоже делал все, что мне говорит отец...;;;;;;;;;;;;;;;;;;;;;
987;ID_37_ROUND_2_GG_ANSWER_RESULT = next;Потому что нужно заслужить свое место в это мире.;За свободу часто приходится бороться.;;;;;;;;;;;;;;;;;;;;;
988;ID_37_ROUND_2_GG_ANSWER_RESULT = next;Это просто несправедливо.;Жизнь - несправделивая штука.;;;;;;;;;;;;;;;;;;;;;
989;ID_37_f_y_ROUND_3_SUICIDE_TEXT;Э...Я хотела быть актрисой, а отец заставил меня учиться на юридическом. Я отучилась уже 4 года, это полное дерьмо, я не хочу этим заниматься.;Понимаешь, я мечтала стать актрисой, а отец заставил меня учиться на юридическом. Я отучилась уже 4 года, да я лучше умру, чем стану юристом!;;;;;;;;;;;;;;;;;;;;;
990;ID_37_ROUND_3_GG_ANSWER_RESULT = suicide;Сыграй мне что-нибудь?;И о какой роли ты мечтаешь?;;;;;;;;;;;;;;;;;;;;;
991;ID_37_ROUND_3_GG_ANSWER_RESULT = next;Ну и что теперь? Жизнь только начинается!;Ну и что теперь? Еще успеешь стать актрисой!;;;;;;;;;;;;;;;;;;;;;
992;ID_37_ROUND_3_GG_ANSWER_RESULT = next;Лучше поздно, чем никогда.;Никогда не поздно воплотить свою мечту!;;;;;;;;;;;;;;;;;;;;;
993;ID_37_f_y_ROUND_3_SUICIDE_ON_DIE;Сыграю самоубийцу. Очень правдопадобно...;Самоубийцы. Смотри, как правдоподобно получается.;;;;;;;;;;;;;;;;;;;;;
994;ID_37_f_y_ROUND_4_SUICIDE_TEXT;Все уже строят карьеру. А я оутсайдер. Я не хочу так жить. Я вообще больше не хочу жить.;Все уже строят карьеру, а я трачу жизнь впустую. Я больше не хочу так жить. ;;;;;;;;;;;;;;;;;;;;;
995;ID_37_ROUND_4_GG_ANSWER_RESULT = next;Люди и в 50 себя находят. Не сдавайся;Люди и на старости лет строят карьеру. Не сдавайся!;;;;;;;;;;;;;;;;;;;;;
996;ID_37_ROUND_4_GG_ANSWER_RESULT = next;Ты можешь еще доказать отцу и всему миру чего ты стоишь.;У тебя еще есть шанс показать отцу и всему миру, чего ты стоишь.;;;;;;;;;;;;;;;;;;;;;
997;ID_37_ROUND_4_GG_ANSWER_RESULT = suicide;Да соберись и слезай.;Хватит уже ныть, возьми себя в руки.;;;;;;;;;;;;;;;;;;;;;
998;ID_37_f_y_ROUND_4_SUICIDE_ON_DIE;Я устала от приказов.;Говоришь в точности, как мой отец.;;;;;;;;;;;;;;;;;;;;;
999;ID_37_f_y_ROUND_5_SUICIDE_TEXT;Я никогда ничего не делала по своей воле. Только сюда вот пришла сама...;Я никогда ничего не делала по своей воле. Только сюда вот пришла сама...;;;;;;;;;;;;;;;;;;;;;
1000;ID_37_ROUND_5_GG_ANSWER_RESULT = ;Ну и уходи по своей воле.;Ну и уходи по своей воле.;;;;;;;;;;;;;;;;;;;;;
1001;ID_37_ROUND_5_GG_ANSWER_RESULT = suicide;Можешь купить книгу по личностному росту.;Могу помоветовать тебе классную книгу по личностному росту.;;;;;;;;;;;;;;;;;;;;;
1002;ID_37_ROUND_5_GG_ANSWER_RESULT = ;Уже что-то! Так и все получится!;Это уже что-то! ;;;;;;;;;;;;;;;;;;;;;
1003;ID_37_f_y_ROUND_5_SUICIDE_ON_DIE;Нет...;Спасибо, не стоит...;;;;;;;;;;;;;;;;;;;;;
1004;ID_37_f_y_ROUND_5SUICIDE_ON_GO_HOME;Я уже сделала первый шаг. Я возьму свою жизнь под контроль!;Ты прав. Я уже сделала первый шаг. Я возьму свою жизнь под контроль!;;;;;;;;;;;;;;;;;;;;;
1005;ID_1_f_a_ROUND_1_SUICIDE_TEXT;Я не хочу больше жить! Моя жена...*всхлипывает*;Я не хочу больше жить! Моя жена... *всхлипывает*;;;;;;;;;;;;;;;;;;;;;
1006;ID_1_ROUND_1_GG_ANSWER_RESULT = suicide;Ты что, из этих?!;Ты что, из этих?!;;;;;;;;;;;;;;;;;;;;;
1007;ID_1_ROUND_1_GG_ANSWER_RESULT = next;Тихо, тихо... Просто скажи, что с ней?;Тихо, тихо... Просто скажи, что с ней?;;;;;;;;;;;;;;;;;;;;;
1008;ID_1_ROUND_1_GG_ANSWER_RESULT = next;Я помогу тебе!;Позволь мне помочь.;;;;;;;;;;;;;;;;;;;;;
1009;ID_1_f_a_ROUND_1_SUICIDE_ON_DIE;Ой, да пошел ты!;Ой, да пошел ты!;;;;;;;;;;;;;;;;;;;;;
1010;ID_1_f_a_ROUND_2_SUICIDE_TEXT;Она мне изменила с моим лучшим другом! Они...они занимались этим прямо в нашей кровати...Боже, это так больно... ;Она мне изменила с моим лучшим другом! Они... Они занимались этим прямо в нашей кровати...Боже, это так больно... ;;;;;;;;;;;;;;;;;;;;;
1011;ID_1_ROUND_2_GG_ANSWER_RESULT = next;"Мой отец всегда говорил:""братаны превыше шл..."" ";"Мой отец всегда говорил:""братаны превыше шл..."" ";;;;;;;;;;;;;;;;;;;;;
1012;ID_1_ROUND_2_GG_ANSWER_RESULT = next;Я здесь, я рядом. Может поговорим об этом, за чашечкой кофе?;Я здесь, я рядом. Может, поговорим об этом за чашечкой кофе?;;;;;;;;;;;;;;;;;;;;;
1013;ID_1_ROUND_2_GG_ANSWER_RESULT = next;Вот СУКА!;Вот стерва!;;;;;;;;;;;;;;;;;;;;;
1014;ID_1_f_a_ROUND_3_SUICIDE_TEXT; Я...Я не знаю. Моя жизнь не имеет больше никакого смысла.; Я... Я не знаю. Моя жизнь не имеет больше никакого смысла.;;;;;;;;;;;;;;;;;;;;;
1015;ID_1_ROUND_3_GG_ANSWER_RESULT = next;Очнись! Это не конец света! ;Очнись! Это же не конец света! ;;;;;;;;;;;;;;;;;;;;;
1016;ID_1_ROUND_3_GG_ANSWER_RESULT = next;Так у всех сейчас.;Так сейчас многим кажется.;;;;;;;;;;;;;;;;;;;;;
1017;ID_1_ROUND_3_GG_ANSWER_RESULT = next;Ну, ты же знаешь. В море еще полно рыбы.;Да ладно тебе, в море еще полно рыбы.;;;;;;;;;;;;;;;;;;;;;
1018;ID_1_f_a_ROUND_4_SUICIDE_TEXT;Может быть. Я полностью пуста. У меня ничего нет.;Может быть. У меня такое ощущение, будто внутри только пустота.;;;;;;;;;;;;;;;;;;;;;
1019;ID_1_ROUND_4_GG_ANSWER_RESULT = save;Новый старт. Море возможностей. Ты даже можешь стать веганом!;Так заполни ее! Новый старт, море возможностей. Ты можешь даже стать веганом!;;;;;;;;;;;;;;;;;;;;;
